,Topic,time,text_language,job_type,external_url,phone_contact,delta_salary
2268,0.0,2020,pl,None,yes,yes,11.6
2269,0.0,2020,pl,M Other specialised business services,no,yes,-16.96
2270,0.0,2020,pl,G Wholesale and retail trade,yes,yes,-9.370000000000001
2271,0.0,2020,pl,M Other specialised business services,no,yes,-16.96
2272,0.0,2020,pl,None,no,yes,11.6
2273,4.0,2020,pl,"A Agriculture, forestry and fishing",yes,yes,-6.729999999999999
2274,0.0,2020,pl,G Wholesale and retail trade,yes,yes,-5.870000000000001
2275,0.0,2020,pl,M Other specialised business services,no,yes,-19.020000000000003
2276,0.0,2020,pl,M Other specialised business services,yes,yes,-19.020000000000003
2277,0.0,2020,pl,G Wholesale and retail trade,yes,yes,-5.870000000000001
2278,6.0,2020,pl,F Construction,no,yes,-9.7
2279,0.0,2020,pl,None,no,yes,15.0
2280,4.0,2020,pl,"A Agriculture, forestry and fishing",yes,yes,-6.729999999999999
2281,0.0,2020,pl,None,yes,yes,12.0
2282,0.0,2020,pl,F Construction,yes,yes,-12.35
2283,0.0,2020,pl,C Manufacturing,yes,yes,-14.31
2284,0.0,2020,pl,G Wholesale and retail trade,yes,yes,-5.870000000000001
2285,0.0,2020,pl,M Other specialised business services,yes,yes,-19.020000000000003
2286,0.0,2020,pl,C Manufacturing,no,yes,-15.3
2287,0.0,2020,pl,None,no,yes,11.6
2288,0.0,2020,pl,C Manufacturing,no,yes,-12.8
2289,0.0,2020,pl,C Manufacturing,no,yes,-15.3
2290,0.0,2020,pl,G Wholesale and retail trade,yes,yes,-7.870000000000001
2291,0.0,2020,pl,"A Agriculture, forestry and fishing",no,yes,-6.119999999999999
2292,0.0,2020,pl,C Manufacturing,no,yes,-14.4
2293,0.0,2020,pl,M Other specialised business services,yes,yes,-19.020000000000003
2294,3.0,2020,pl,"A Agriculture, forestry and fishing",no,yes,-6.729999999999999
2295,0.0,2020,pl,G Wholesale and retail trade,yes,yes,-8.88
2296,0.0,2020,pl,H Transportation and storage,no,yes,-10.850000000000001
2297,0.0,2020,pl,G Wholesale and retail trade,no,yes,-7.370000000000001
2298,0.0,2020,pl,F Construction,no,yes,-14.2
2299,0.0,2020,pl,C Manufacturing,no,yes,-13.700000000000001
2300,0.0,2020,pl,G Wholesale and retail trade,no,yes,-5.870000000000001
2301,0.0,2020,en,None,no,yes,14.0
2302,0.0,2020,pl,H Transportation and storage,no,yes,-13.100000000000001
2303,0.0,2020,en,None,yes,yes,14.0
2304,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2305,0.0,2020,pl,F Construction,no,yes,-13.7
2306,0.0,2020,pl,C Manufacturing,no,yes,-15.3
2307,0.0,2020,pl,None,no,yes,12.0
2308,0.0,2020,pl,H Transportation and storage,no,yes,-10.350000000000001
2309,0.0,2020,pl,C Manufacturing,no,yes,-15.3
2310,0.0,2020,pl,None,no,yes,11.6
2311,0.0,2019,pl,None,no,yes,10.5
2312,3.0,2019,pl,C Manufacturing,no,yes,-12.499999999999998
2313,0.0,2019,pl,C Manufacturing,no,yes,-12.799999999999999
2314,0.0,2019,pl,G Wholesale and retail trade,yes,yes,-7.040000000000001
2315,0.0,2019,pl,None,no,yes,14.0
2316,0.0,2019,en,C Manufacturing,yes,yes,19.6
2317,0.0,2019,pl,H Transportation and storage,no,yes,-12.41
2318,0.0,2019,en,F Construction,yes,yes,-11.579999999999998
2319,0.0,2019,pl,C Manufacturing,no,yes,-10.399999999999999
2320,0.0,2019,pl,F Construction,no,yes,-12.579999999999998
2321,0.0,2019,pl,G Wholesale and retail trade,no,yes,-5.390000000000001
2322,5.0,2019,pl,S Other service activities,no,yes,-10.77
2323,0.0,2019,pl,H Transportation and storage,no,yes,-8.66
2324,0.0,2019,pl,C Manufacturing,no,yes,-13.399999999999999
2325,0.0,2019,pl,S Other service activities,no,yes,-10.77
2326,0.0,2019,pl,F Construction,no,yes,-11.579999999999998
2327,0.0,2019,pl,M Other specialised business services,no,yes,-18.51
2328,0.0,2019,pl,F Construction,no,yes,-10.329999999999998
2329,0.0,2019,pl,C Manufacturing,no,yes,-12.399999999999999
2330,0.0,2019,pl,None,no,yes,12.26
2331,0.0,2019,pl,None,no,yes,12.47
2332,0.0,2019,pl,F Construction,no,yes,-13.519999999999998
2333,0.0,2019,pl,G Wholesale and retail trade,no,yes,-5.890000000000001
2334,1.0,2021,ro,None,yes,yes,53.0
2335,4.0,2021,ro,G Wholesale and retail trade,yes,yes,15.129999999999999
2336,5.0,2020,ro,G Wholesale and retail trade,yes,yes,37.129999999999995
2337,1.0,2020,ro,F Construction,yes,yes,32.3
2338,4.0,2019,en,G Wholesale and retail trade,yes,yes,-7.390000000000001
2339,4.0,2019,en,F Construction,yes,yes,9.920000000000002
2340,5.0,2019,ro,F Construction,yes,yes,9.920000000000002
2341,3.0,2021,en,C Manufacturing,no,yes,-20.3
2342,5.0,2021,en,None,no,yes,35.0
2343,5.0,2021,en,None,no,yes,35.0
2344,5.0,2021,en,C Manufacturing,no,yes,-13.49
2345,6.0,2021,en,G Wholesale and retail trade,yes,yes,17.13
2346,4.0,2021,en,H Transportation and storage,yes,yes,11.8
2347,5.0,2021,en,G Wholesale and retail trade,no,yes,15.129999999999999
2348,0.0,2021,en,C Manufacturing,yes,yes,-12.175
2349,5.0,2021,en,H Transportation and storage,yes,yes,44.0
2350,5.0,2021,en,H Transportation and storage,yes,yes,35.0
2351,4.0,2021,en,G Wholesale and retail trade,yes,yes,-12.370000000000001
2352,5.0,2021,en,C Manufacturing,no,yes,-9.05
2353,5.0,2021,en,I Accommodation and food serving,no,yes,-4.460000000000001
2354,4.0,2021,en,H Transportation and storage,no,yes,3.75
2355,5.0,2021,en,F Construction,yes,yes,-5.949999999999999
2356,5.0,2021,en,H Transportation and storage,yes,yes,18.75
2357,0.0,2021,en,C Manufacturing,no,yes,24.7
2358,4.0,2021,en,"A Agriculture, forestry and fishing",yes,yes,-14.907499999999999
2359,5.0,2021,en,G Wholesale and retail trade,yes,yes,-17.0575
2360,5.0,2021,en,F Construction,yes,yes,-10.95
2361,5.0,2021,en,None,no,yes,35.0
2362,6.0,2021,en,C Manufacturing,yes,yes,-7.800000000000001
2363,5.0,2021,en,None,yes,yes,35.0
2364,4.0,2021,en,C Manufacturing,no,yes,-22.3
2365,5.0,2021,en,"A Agriculture, forestry and fishing",yes,yes,17.28
2366,4.0,2021,en,F Construction,no,yes,19.3
2367,5.0,2021,en,H Transportation and storage,yes,yes,35.0
2368,5.0,2021,en,F Construction,yes,yes,-7.199999999999999
2369,5.0,2021,en,C Manufacturing,yes,yes,9.7
2370,5.0,2021,en,F Construction,yes,yes,10.3
2371,4.0,2021,en,C Manufacturing,no,yes,-22.3
2372,5.0,2021,en,F Construction,yes,yes,-7.199999999999999
2373,4.0,2021,en,S Other service activities,yes,yes,-7.710000000000001
2374,5.0,2021,en,F Construction,no,yes,-7.199999999999999
2375,5.0,2021,en,"A Agriculture, forestry and fishing",yes,yes,-5.219999999999999
2376,6.0,2021,en,None,no,yes,11.5
2377,5.0,2021,en,M Other specialised business services,no,yes,14.04
2378,5.0,2021,en,I Accommodation and food serving,no,yes,2.539999999999999
2379,4.0,2021,nl,G Wholesale and retail trade,no,yes,0.025953757225433804
2380,5.0,2021,en,F Construction,yes,yes,28.3
2381,5.0,2021,en,F Construction,yes,yes,19.3
2382,5.0,2021,en,H Transportation and storage,yes,yes,10.62
2383,5.0,2021,pt,G Wholesale and retail trade,yes,yes,15.129999999999999
2384,6.0,2021,en,,no,yes,12.39
2385,7.0,2021,en,M Other specialised business services,yes,yes,-18.62
2386,4.0,2021,en,G Wholesale and retail trade,yes,yes,15.129999999999999
2387,5.0,2021,en,G Wholesale and retail trade,yes,yes,-7.370000000000001
2388,5.0,2021,en,F Construction,yes,yes,28.3
2389,5.0,2021,en,None,no,yes,12.8
2390,5.0,2021,en,H Transportation and storage,yes,yes,35.0
2391,5.0,2021,en,F Construction,yes,yes,28.3
2392,0.0,2021,en,H Transportation and storage,no,yes,11.0
2393,4.0,2021,en,C Manufacturing,no,yes,-20.3
2394,4.0,2021,en,None,yes,yes,11.0
2395,4.0,2021,en,C Manufacturing,yes,yes,-22.3
2396,6.0,2021,en,G Wholesale and retail trade,yes,yes,-6.120000000000001
2397,5.0,2021,en,I Accommodation and food serving,no,yes,-2.860000000000001
2398,5.0,2021,en,F Construction,yes,yes,28.3
2399,5.0,2021,en,"A Agriculture, forestry and fishing",yes,yes,-2.6910982658959544
2400,6.0,2021,en,G Wholesale and retail trade,no,yes,-7.49
